player,nationality,position,value,position2,foot,league,games,games_starts,minutes,goals,assists,xg,npxg,xa,minutes_90s,shots_total,shots_on_target,passes_completed,passes,passes_total_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,assisted_shots,passes_into_final_third,passes_into_penalty_area,progressive_passes,passes_live,through_balls,passes_pressure,passes_ground,passes_right_foot,passes_offsides,passes_intercepted,passes_blocked,sca,sca_passes_live,sca_dribbles,sca_shots,sca_fouled,gca,gca_passes_live,gca_dribbles,gca_fouled,tackles_att_3rd,pressure_regains,pressures_att_3rd,touches,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,miscontrols,dispossessed,fouled,W,GF,GDiff,Pts,Pts/G,xG,xGDiff,xGDiff/90,CL,bin
Burgui,ESP,"FW,MF",1800000.0,attack - Left Winger,right,La Liga,23.0,12.0,1037.0,1.0,1.0,0.9,0.9,1.7,11.5,14.0,4.0,264.0,354.0,4623.0,127.0,154.0,107.0,143.0,17.0,28.0,15.0,47.0,336.0,2.0,73.0,280.0,286.0,1.0,14.0,22.0,42.0,33.0,2.0,2.0,4.0,3.0,3.0,0.0,0.0,5.0,47.0,70.0,463.0,217.0,223.0,29.0,445.0,24.0,31.0,25.0,2.0,388.0,2670.0,1520.0,468.0,345.0,24.0,20.0,19.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Raphaël Varane,FRA,DF,70000000.0,Defender - Centre-Back,right,La Liga,27.0,27.0,2320.0,0.0,1.0,0.9,0.9,0.9,25.8,10.0,2.0,1169.0,1323.0,25454.0,330.0,361.0,600.0,657.0,6.0,82.0,3.0,52.0,1298.0,1.0,193.0,1026.0,742.0,4.0,13.0,12.0,17.0,14.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,86.0,7.0,1504.0,753.0,70.0,19.0,1479.0,10.0,12.0,10.0,0.0,1031.0,6596.0,2986.0,992.0,973.0,3.0,3.0,12.0,22.0,94.0,50.0,76.0,2.0,83.3,37.9,1.0,1.0,4
Rubén Duarte,ESP,DF,2000000.0,Defender - Left-Back,left,La Liga,24.0,24.0,2138.0,0.0,2.0,0.5,0.5,1.6,23.8,8.0,1.0,660.0,963.0,11820.0,311.0,366.0,271.0,373.0,18.0,41.0,21.0,62.0,748.0,1.0,153.0,394.0,87.0,14.0,12.0,25.0,34.0,27.0,0.0,1.0,5.0,2.0,0.0,0.0,2.0,3.0,83.0,33.0,1217.0,531.0,293.0,19.0,1003.0,11.0,12.0,11.0,1.0,537.0,2738.0,1412.0,511.0,463.0,5.0,13.0,35.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Samuel Umtiti,FRA,DF,60000000.0,Defender - Centre-Back,left,La Liga,25.0,24.0,2189.0,1.0,0.0,1.1,1.1,0.0,24.3,11.0,6.0,1435.0,1591.0,28492.0,468.0,514.0,760.0,804.0,1.0,118.0,1.0,90.0,1567.0,1.0,236.0,1345.0,252.0,2.0,10.0,23.0,10.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,85.0,10.0,1768.0,956.0,78.0,17.0,1747.0,6.0,8.0,6.0,1.0,1318.0,7973.0,4639.0,1272.0,1251.0,7.0,4.0,25.0,28.0,99.0,70.0,93.0,2.45,78.3,37.2,0.98,1.0,4
Manu García,ESP,MF,1800000.0,midfield - Defensive Midfield,left,La Liga,30.0,27.0,2438.0,3.0,0.0,3.1,1.6,1.4,27.1,26.0,8.0,724.0,997.0,13562.0,312.0,398.0,302.0,391.0,15.0,92.0,5.0,65.0,979.0,1.0,233.0,650.0,269.0,7.0,19.0,27.0,41.0,29.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,8.0,145.0,57.0,1327.0,808.0,213.0,39.0,1308.0,17.0,21.0,17.0,0.0,818.0,3811.0,1714.0,865.0,732.0,23.0,22.0,72.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Ibai Gómez,ESP,"MF,FW",3500000.0,attack - Right Winger,right,La Liga,34.0,26.0,2315.0,7.0,6.0,5.5,4.7,4.8,25.7,52.0,24.0,616.0,934.0,11904.0,270.0,335.0,244.0,321.0,38.0,74.0,24.0,76.0,767.0,6.0,199.0,523.0,765.0,8.0,33.0,28.0,70.0,32.0,6.0,3.0,3.0,10.0,8.0,0.0,0.0,3.0,95.0,109.0,1206.0,584.0,535.0,54.0,1039.0,51.0,90.0,59.0,4.0,864.0,4691.0,2185.0,949.0,768.0,39.0,47.0,21.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,2
John Guidetti,SWE,FW,5000000.0,attack - Centre-Forward,right,La Liga,17.0,15.0,1210.0,3.0,2.0,3.4,3.4,2.1,13.4,29.0,12.0,227.0,345.0,3416.0,140.0,196.0,63.0,99.0,13.0,25.0,7.0,28.0,342.0,0.0,90.0,200.0,213.0,4.0,13.0,14.0,30.0,22.0,2.0,2.0,3.0,7.0,5.0,0.0,1.0,3.0,65.0,96.0,54.0,19.0,34.0,13.0,54.0,2.0,2.0,2.0,0.0,45.0,231.0,85.0,65.0,49.0,3.0,7.0,0.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,2
Munir El Haddadi,ESP,FW,12000000.0,attack - Centre-Forward,left,La Liga,33.0,28.0,2436.0,10.0,6.0,8.8,8.8,3.6,27.1,62.0,24.0,463.0,704.0,7431.0,272.0,347.0,133.0,199.0,41.0,25.0,27.0,46.0,604.0,3.0,157.0,443.0,75.0,6.0,24.0,39.0,88.0,50.0,5.0,3.0,18.0,12.0,7.0,1.0,1.0,9.0,124.0,196.0,1058.0,457.0,613.0,100.0,967.0,36.0,59.0,40.0,1.0,771.0,4335.0,1925.0,1207.0,729.0,81.0,71.0,114.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,3
Héctor Hernández,ESP,MF,30000.0,Defender - Left-Back,left,La Liga,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.0,13.0,220.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,9.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,13.0,41.0,20.0,12.0,11.0,2.0,1.0,0.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,0
Aleksandar Katai,SRB,"FW,MF",1250000.0,attack - Left Winger,right,La Liga,3.0,0.0,57.0,0.0,0.0,0.2,0.2,0.0,0.6,3.0,0.0,9.0,11.0,139.0,5.0,6.0,4.0,5.0,0.0,3.0,0.0,2.0,11.0,0.0,3.0,11.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,20.0,8.0,12.0,2.0,20.0,2.0,4.0,2.0,1.0,19.0,250.0,161.0,22.0,15.0,0.0,4.0,1.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Kalidou Koulibaly,SEN,DF,60000000.0,Defender - Centre-Back,right,Serie A,35.0,35.0,3066.0,5.0,1.0,2.6,2.6,0.3,34.1,17.0,6.0,2676.0,2932.0,49659.0,1131.0,1183.0,1198.0,1275.0,8.0,156.0,1.0,178.0,2888.0,1.0,260.0,2426.0,2062.0,0.0,30.0,18.0,30.0,28.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,96.0,18.0,3207.0,2150.0,87.0,25.0,3163.0,10.0,13.0,12.0,1.0,2342.0,11674.0,7216.0,2441.0,2408.0,7.0,9.0,9.0,28.0,77.0,48.0,91.0,2.39,66.6,41.1,1.08,1.0,4
Paul Pogba,FRA,MF,90000000.0,midfield - Central Midfield,both,Premier League,27.0,25.0,2148.0,6.0,10.0,6.5,6.5,3.9,23.9,77.0,21.0,1469.0,1755.0,27189.0,660.0,740.0,544.0,627.0,41.0,179.0,50.0,224.0,1733.0,3.0,258.0,1327.0,1413.0,8.0,47.0,21.0,97.0,80.0,6.0,5.0,4.0,18.0,13.0,1.0,2.0,5.0,85.0,92.0,2088.0,1213.0,716.0,78.0,2067.0,62.0,88.0,65.0,0.0,1657.0,10500.0,6466.0,1780.0,1648.0,49.0,50.0,52.0,25.0,68.0,40.0,81.0,2.13,57.0,17.4,0.46,1.0,4
Fernando Pacheco,ESP,GK,9000000.0,Goalkeeper,left,La Liga,38.0,37.0,3360.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,0.0,414.0,760.0,18366.0,40.0,41.0,99.0,102.0,0.0,20.0,0.0,0.0,452.0,0.0,84.0,163.0,49.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,5.0,0.0,0.0,670.0,1.0,1.0,1.0,0.0,387.0,2380.0,1627.0,282.0,281.0,0.0,0.0,3.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,3
Alfonso Pedraza,ESP,"MF,DF",5000000.0,Defender - Left-Back,left,La Liga,33.0,27.0,2440.0,3.0,5.0,3.5,3.5,3.7,27.1,42.0,13.0,460.0,734.0,7874.0,226.0,317.0,190.0,266.0,28.0,40.0,21.0,54.0,693.0,0.0,193.0,469.0,77.0,4.0,17.0,72.0,64.0,42.0,11.0,4.0,4.0,11.0,7.0,1.0,1.0,8.0,152.0,124.0,1055.0,465.0,453.0,88.0,1015.0,50.0,86.0,53.0,5.0,765.0,6392.0,4082.0,827.0,626.0,59.0,37.0,23.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,2
Hernán Pérez,PAR,"MF,FW",1200000.0,attack - Right Winger,right,La Liga,10.0,4.0,375.0,0.0,0.0,0.4,0.4,0.6,4.2,9.0,2.0,96.0,147.0,1680.0,53.0,71.0,31.0,45.0,5.0,5.0,11.0,10.0,137.0,0.0,38.0,82.0,115.0,1.0,8.0,10.0,12.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,98.0,50.0,40.0,2.0,93.0,4.0,10.0,6.0,0.0,75.0,492.0,334.0,89.0,69.0,5.0,5.0,1.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Óscar Romero,PAR,"MF,FW",4000000.0,midfield - Attacking Midfield,left,La Liga,5.0,2.0,253.0,0.0,0.0,0.2,0.2,0.1,2.8,8.0,3.0,41.0,72.0,944.0,17.0,24.0,12.0,24.0,5.0,4.0,1.0,5.0,61.0,0.0,15.0,32.0,8.0,0.0,1.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,112.0,58.0,40.0,2.0,101.0,3.0,8.0,3.0,1.0,75.0,510.0,238.0,86.0,62.0,4.0,9.0,10.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,2
Christian Santos,VEN,FW,1000000.0,attack - Centre-Forward,left,La Liga,10.0,5.0,438.0,2.0,0.0,1.3,1.3,0.2,4.9,7.0,4.0,90.0,141.0,1121.0,57.0,82.0,22.0,43.0,3.0,4.0,1.0,1.0,140.0,0.0,36.0,64.0,24.0,0.0,4.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,41.0,186.0,118.0,57.0,15.0,185.0,0.0,0.0,0.0,0.0,92.0,306.0,110.0,254.0,133.0,12.0,3.0,0.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,0
Antonio Sivera,ESP,GK,1000000.0,Goalkeeper,right,La Liga,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,7.0,12.0,343.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,25.0,22.0,4.0,4.0,0.0,0.0,0.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,0
Rubén Sobrino,ESP,"FW,MF",2000000.0,attack - Centre-Forward,right,La Liga,28.0,15.0,1474.0,3.0,3.0,3.1,3.1,1.2,16.4,25.0,13.0,300.0,418.0,4229.0,187.0,250.0,98.0,129.0,21.0,18.0,9.0,22.0,409.0,0.0,123.0,279.0,281.0,4.0,6.0,21.0,37.0,31.0,2.0,0.0,4.0,5.0,3.0,1.0,1.0,6.0,96.0,144.0,634.0,337.0,277.0,59.0,625.0,20.0,31.0,23.0,0.0,434.0,3294.0,1835.0,671.0,409.0,42.0,36.0,33.0,15.0,40.0,-10.0,47.0,1.24,39.0,-14.2,-0.37,0.0,1
Marquinhos,BRA,DF,55000000.0,Defender - Centre-Back,right,Ligue 1,26.0,25.0,2262.0,0.0,1.0,1.5,1.5,1.0,25.1,16.0,1.0,1481.0,1585.0,30405.0,460.0,476.0,786.0,811.0,4.0,64.0,8.0,55.0,1567.0,0.0,141.0,1370.0,1144.0,3.0,8.0,7.0,12.0,11.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,52.0,12.0,1787.0,906.0,46.0,24.0,1771.0,2.0,2.0,2.0,0.0,1256.0,7524.0,4362.0,1299.0,1281.0,4.0,1.0,8.0,29.0,108.0,79.0,93.0,2.45,89.1,56.9,1.5,1.0,4
Aymeric Laporte,FRA,DF,50000000.0,Defender - Centre-Back,left,La Liga,19.0,19.0,1710.0,0.0,0.0,0.6,0.6,0.5,19.0,9.0,2.0,809.0,991.0,20057.0,177.0,206.0,402.0,454.0,7.0,85.0,8.0,76.0,959.0,0.0,139.0,662.0,172.0,3.0,11.0,10.0,13.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,44.0,6.0,852.0,549.0,74.0,1.0,843.0,2.0,2.0,2.0,0.0,566.0,3447.0,2056.0,654.0,647.0,1.0,0.0,4.0,10.0,41.0,-8.0,43.0,1.13,45.6,-1.8,-0.05,0.0,4
Sekou Baradji,FRA,MF,20000.0,midfield - Defensive Midfield,left,Ligue 1,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,5.0,24.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,15.0,4.0,2.0,2.0,0.0,0.0,0.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Mathieu Bodmer,FRA,"DF,MF",50000.0,midfield - Defensive Midfield,right,Ligue 1,13.0,3.0,397.0,1.0,0.0,0.9,0.9,0.4,4.4,8.0,1.0,216.0,275.0,4038.0,93.0,108.0,95.0,112.0,5.0,24.0,4.0,26.0,265.0,0.0,25.0,193.0,211.0,2.0,4.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,308.0,151.0,51.0,10.0,299.0,0.0,0.0,0.0,0.0,183.0,1136.0,610.0,237.0,217.0,2.0,0.0,3.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Jean-Christophe Bouet,FRA,GK,20000.0,Goalkeeper,right,Ligue 1,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,20.0,262.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,73.0,39.0,5.0,5.0,0.0,0.0,1.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Emmanuel Bourgaud,FRA,"MF,FW",60000.0,midfield - Right Midfield,right,Ligue 1,17.0,4.0,543.0,0.0,1.0,0.4,0.4,1.5,6.0,11.0,1.0,194.0,294.0,3824.0,81.0,103.0,73.0,104.0,18.0,27.0,6.0,32.0,259.0,2.0,65.0,166.0,244.0,1.0,8.0,12.0,28.0,13.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,39.0,26.0,374.0,172.0,151.0,7.0,339.0,6.0,11.0,6.0,0.0,227.0,1595.0,790.0,279.0,220.0,10.0,11.0,10.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Charly Charrier,FRA,MF,50000.0,midfield - Attacking Midfield,left,Ligue 1,3.0,1.0,105.0,0.0,0.0,0.3,0.3,0.0,1.2,1.0,0.0,53.0,71.0,924.0,23.0,31.0,24.0,26.0,1.0,7.0,0.0,4.0,70.0,0.0,4.0,51.0,47.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,87.0,49.0,30.0,6.0,87.0,0.0,1.0,0.0,0.0,64.0,417.0,154.0,75.0,67.0,4.0,6.0,1.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Issa Cissokho,SEN,DF,50000.0,Defender - Right-Back,right,Ligue 1,19.0,18.0,1630.0,0.0,0.0,0.1,0.1,0.5,18.1,4.0,1.0,592.0,801.0,11131.0,247.0,289.0,263.0,334.0,9.0,49.0,10.0,38.0,648.0,0.0,87.0,432.0,497.0,3.0,20.0,14.0,17.0,14.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,41.0,9.0,988.0,440.0,169.0,3.0,841.0,4.0,6.0,5.0,1.0,478.0,3221.0,1858.0,485.0,460.0,14.0,8.0,18.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Quentin Cornette,FRA,"FW,MF",30000.0,attack - Right Winger,right,Ligue 1,12.0,6.0,446.0,1.0,1.0,0.7,0.7,1.1,5.0,7.0,5.0,96.0,138.0,1449.0,54.0,68.0,32.0,45.0,6.0,13.0,2.0,19.0,134.0,1.0,31.0,103.0,117.0,3.0,6.0,6.0,11.0,6.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0,31.0,34.0,210.0,111.0,74.0,12.0,206.0,12.0,17.0,12.0,1.0,155.0,1345.0,964.0,161.0,130.0,14.0,10.0,10.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Gerard Piqué,ESP,DF,50000000.0,Defender - Centre-Back,right,La Liga,30.0,29.0,2631.0,2.0,0.0,3.0,3.0,0.9,29.2,18.0,5.0,1606.0,1810.0,34428.0,460.0,499.0,841.0,904.0,6.0,123.0,4.0,90.0,1764.0,0.0,263.0,1436.0,1552.0,1.0,19.0,11.0,17.0,13.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,78.0,16.0,2075.0,1007.0,90.0,28.0,2032.0,6.0,10.0,6.0,0.0,1419.0,9431.0,5263.0,1385.0,1341.0,4.0,7.0,13.0,28.0,99.0,70.0,93.0,2.45,78.3,37.2,0.98,1.0,4
Jean-Luc Dompé,FRA,MF,75000.0,attack - Left Winger,right,Ligue 1,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,8.0,18.0,139.0,5.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,17.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,12.0,2.0,15.0,0.0,0.0,0.0,0.0,11.0,163.0,111.0,11.0,10.0,0.0,0.0,0.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Toni Kroos,GER,MF,80000000.0,midfield - Central Midfield,right,La Liga,27.0,26.0,2261.0,5.0,5.0,2.6,2.6,5.6,25.1,41.0,17.0,1919.0,2160.0,38649.0,761.0,811.0,798.0,862.0,66.0,275.0,36.0,223.0,1963.0,2.0,339.0,1680.0,1791.0,5.0,32.0,21.0,123.0,71.0,3.0,3.0,6.0,16.0,12.0,1.0,0.0,7.0,148.0,158.0,2349.0,1415.0,739.0,42.0,2165.0,16.0,19.0,16.0,0.0,1834.0,10137.0,5394.0,1867.0,1773.0,9.0,13.0,38.0,22.0,94.0,50.0,76.0,2.0,83.3,37.9,1.0,1.0,4
Serge Gakpé,TOG,"FW,MF",90000.0,attack - Right Winger,right,Ligue 1,29.0,23.0,1853.0,3.0,1.0,3.4,3.4,0.8,20.6,33.0,14.0,347.0,506.0,5546.0,169.0,210.0,149.0,208.0,13.0,34.0,7.0,53.0,497.0,2.0,135.0,354.0,357.0,1.0,26.0,26.0,28.0,24.0,0.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,58.0,44.0,696.0,331.0,281.0,56.0,687.0,10.0,24.0,10.0,0.0,499.0,3582.0,2012.0,657.0,492.0,40.0,22.0,15.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Georges Gope-Fenepej,NCL,"MF,FW",30000.0,midfield - Left Midfield,left,Ligue 1,3.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,13.0,21.0,233.0,6.0,11.0,4.0,5.0,1.0,2.0,2.0,2.0,21.0,0.0,2.0,17.0,18.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,12.0,19.0,0.0,27.0,2.0,4.0,2.0,0.0,24.0,137.0,65.0,28.0,23.0,1.0,2.0,0.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Régis Gurtner,FRA,GK,3000000.0,Goalkeeper,right,Ligue 1,37.0,37.0,3330.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,507.0,1008.0,21011.0,34.0,35.0,177.0,184.0,0.0,27.0,0.0,0.0,606.0,0.0,109.0,225.0,801.0,1.0,5.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,7.0,1.0,0.0,827.0,2.0,2.0,2.0,0.0,502.0,3281.0,2034.0,369.0,369.0,0.0,0.0,9.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,1
Oualid El Hajjam,MAR,DF,1000000.0,Defender - Right-Back,right,Ligue 1,26.0,24.0,2198.0,1.0,1.0,1.1,1.1,1.0,24.4,19.0,3.0,725.0,1046.0,12826.0,311.0,363.0,314.0,432.0,13.0,50.0,9.0,58.0,810.0,0.0,159.0,512.0,602.0,6.0,26.0,30.0,29.0,20.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,65.0,43.0,1344.0,588.0,320.0,18.0,1113.0,23.0,35.0,27.0,0.0,699.0,4990.0,2692.0,636.0,579.0,25.0,23.0,26.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Julien Ielsch,FRA,"MF,DF",25000.0,Defender - Left-Back,left,Ligue 1,11.0,7.0,617.0,0.0,0.0,0.4,0.4,0.4,6.9,7.0,1.0,159.0,236.0,2652.0,78.0,99.0,61.0,80.0,5.0,17.0,3.0,28.0,224.0,0.0,40.0,134.0,47.0,0.0,5.0,8.0,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,34.0,20.0,318.0,166.0,75.0,9.0,306.0,2.0,4.0,2.0,0.0,168.0,976.0,539.0,169.0,148.0,2.0,9.0,5.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Gaël Kakuta,COD,"MF,FW",6000000.0,midfield - Attacking Midfield,left,Ligue 1,36.0,36.0,3084.0,6.0,4.0,4.7,4.0,7.1,34.3,58.0,19.0,889.0,1378.0,15336.0,437.0,582.0,301.0,435.0,66.0,105.0,37.0,148.0,1225.0,7.0,227.0,862.0,196.0,11.0,62.0,62.0,108.0,62.0,10.0,6.0,5.0,12.0,7.0,3.0,0.0,6.0,167.0,177.0,1885.0,965.0,819.0,58.0,1733.0,72.0,129.0,79.0,4.0,1283.0,8481.0,4349.0,1561.0,1273.0,96.0,110.0,63.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,2
Moussa Konaté,SEN,FW,6000000.0,attack - Centre-Forward,right,Ligue 1,33.0,28.0,2472.0,13.0,1.0,10.4,8.9,1.6,27.5,63.0,25.0,345.0,513.0,4979.0,188.0,242.0,115.0,169.0,18.0,15.0,19.0,27.0,477.0,0.0,143.0,312.0,293.0,0.0,15.0,26.0,49.0,32.0,3.0,3.0,10.0,5.0,3.0,0.0,2.0,1.0,87.0,151.0,859.0,393.0,460.0,117.0,822.0,11.0,22.0,13.0,0.0,531.0,3813.0,1886.0,1239.0,626.0,100.0,41.0,55.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,2
Brighton Labeau,FRA,FW,15000.0,attack - Centre-Forward,right,Ligue 1,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.0,3.0,33.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,52.0,30.0,6.0,2.0,0.0,1.0,0.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,0
Harrison Manzala,COD,"FW,MF",1500000.0,attack - Right Winger,right,Ligue 1,37.0,18.0,1864.0,4.0,3.0,3.0,2.2,2.1,20.7,32.0,14.0,477.0,665.0,7174.0,256.0,308.0,177.0,243.0,10.0,19.0,9.0,25.0,651.0,2.0,131.0,511.0,527.0,3.0,18.0,31.0,32.0,21.0,5.0,2.0,2.0,7.0,4.0,2.0,0.0,7.0,78.0,59.0,912.0,471.0,358.0,63.0,898.0,36.0,69.0,41.0,0.0,679.0,5568.0,3458.0,799.0,637.0,43.0,30.0,23.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,1
Stiven Mendoza,COL,"FW,MF",1250000.0,attack - Left Winger,left,Ligue 1,13.0,12.0,1032.0,2.0,0.0,2.3,2.3,0.8,11.5,25.0,6.0,256.0,366.0,4280.0,137.0,171.0,84.0,115.0,13.0,18.0,6.0,19.0,334.0,1.0,85.0,265.0,20.0,0.0,6.0,23.0,30.0,17.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,34.0,44.0,483.0,198.0,234.0,30.0,451.0,22.0,35.0,24.0,0.0,368.0,2652.0,1390.0,440.0,309.0,16.0,22.0,8.0,12.0,37.0,-5.0,45.0,1.18,35.2,-20.3,-0.53,0.0,1
