player,nationality,position,value,position2,foot,league,games,games_starts,minutes,goals,assists,xg,npxg,xa,minutes_90s,shots_total,shots_on_target,passes_completed,passes,passes_total_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,assisted_shots,passes_into_final_third,passes_into_penalty_area,progressive_passes,passes_live,through_balls,passes_pressure,passes_ground,passes_right_foot,passes_offsides,passes_intercepted,passes_blocked,sca,sca_passes_live,sca_dribbles,sca_shots,sca_fouled,gca,gca_passes_live,gca_dribbles,gca_fouled,tackles_att_3rd,pressure_regains,pressures_att_3rd,touches,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,miscontrols,dispossessed,fouled,W,GF,GDiff,Pts,Pts/G,xG,xGDiff,xGDiff/90,CL,bin
Rubén Pardo,ESP,MF,1500000.0,midfield - Central Midfield,right,La Liga,6.0,3.0,222.0,0.0,1.0,0.0,0.0,0.5,2.5,1.0,0.0,109.0,139.0,2141.0,39.0,42.0,53.0,63.0,4.0,6.0,4.0,16.0,129.0,0.0,16.0,101.0,112.0,0.0,2.0,4.0,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,151.0,95.0,35.0,2.0,141.0,4.0,5.0,4.0,0.0,112.0,705.0,353.0,98.0,95.0,0.0,1.0,2.0,14.0,66.0,7.0,49.0,1.29,55.0,7.8,0.21,0.0,1
Vincent Nogueira,FRA,MF,1500000.0,midfield - Central Midfield,right,Ligue 1,3.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,35.0,43.0,717.0,9.0,11.0,19.0,19.0,0.0,2.0,0.0,2.0,42.0,0.0,2.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,35.0,6.0,0.0,49.0,1.0,1.0,1.0,0.0,41.0,217.0,80.0,42.0,39.0,1.0,1.0,3.0,9.0,44.0,-23.0,38.0,1.0,45.3,-10.7,-0.28,0.0,1
Karim Azamoum,FRA,MF,1500000.0,midfield - Central Midfield,right,Ligue 1,30.0,26.0,2278.0,1.0,0.0,1.4,1.4,2.0,25.3,22.0,7.0,664.0,953.0,11079.0,318.0,405.0,237.0,318.0,24.0,60.0,10.0,69.0,905.0,2.0,200.0,634.0,709.0,4.0,24.0,36.0,48.0,31.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,7.0,119.0,45.0,1245.0,578.0,377.0,33.0,1195.0,14.0,23.0,18.0,1.0,707.0,4427.0,1781.0,812.0,693.0,37.0,30.0,17.0,9.0,32.0,-27.0,33.0,0.87,36.6,-17.6,-0.46,0.0,1
Óscar Duarte,CRC,DF,1000000.0,Defender - Centre-Back,right,La Liga,11.0,11.0,990.0,0.0,0.0,1.0,1.0,0.0,11.0,6.0,1.0,374.0,497.0,8681.0,99.0,111.0,182.0,217.0,0.0,16.0,2.0,19.0,480.0,0.0,81.0,297.0,319.0,1.0,7.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,565.0,243.0,9.0,6.0,548.0,2.0,2.0,2.0,0.0,328.0,1665.0,656.0,322.0,317.0,1.0,0.0,6.0,12.0,36.0,-6.0,49.0,1.29,42.9,-4.8,-0.13,0.0,0
Naldo,BRA,DF,1000000.0,Defender - Centre-Back,right,La Liga,11.0,10.0,920.0,0.0,0.0,0.1,0.1,0.1,10.2,1.0,0.0,353.0,436.0,7785.0,88.0,103.0,205.0,234.0,1.0,8.0,1.0,9.0,428.0,0.0,54.0,309.0,301.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,532.0,201.0,5.0,1.0,524.0,3.0,3.0,3.0,0.0,304.0,1399.0,508.0,286.0,282.0,2.0,1.0,0.0,12.0,36.0,-6.0,49.0,1.29,42.9,-4.8,-0.13,0.0,0
Sergio Sánchez,ESP,DF,1000000.0,Defender - Centre-Back,right,La Liga,2.0,1.0,102.0,0.0,0.0,0.1,0.1,0.0,1.1,1.0,0.0,30.0,40.0,558.0,12.0,15.0,15.0,16.0,0.0,2.0,0.0,5.0,31.0,0.0,10.0,18.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,23.0,9.0,1.0,41.0,0.0,0.0,0.0,0.0,21.0,78.0,47.0,20.0,20.0,1.0,0.0,0.0,12.0,36.0,-6.0,49.0,1.29,42.9,-4.8,-0.13,0.0,0
José Alonso Lara,ESP,FW,50000.0,attack - Left Winger,right,La Liga,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.0,4.0,45.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,1.0,6.0,1.0,1.0,1.0,0.0,7.0,91.0,71.0,7.0,6.0,0.0,1.0,0.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,0
Guilherme Arana,BRA,DF,5000000.0,Defender - Left-Back,left,La Liga,3.0,2.0,193.0,0.0,0.0,0.0,0.0,0.1,2.1,0.0,0.0,107.0,130.0,1712.0,50.0,54.0,49.0,57.0,1.0,3.0,1.0,2.0,109.0,0.0,8.0,84.0,16.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,138.0,58.0,33.0,2.0,117.0,1.0,1.0,1.0,0.0,88.0,545.0,293.0,80.0,78.0,0.0,2.0,2.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Sam Field,ENG,MF,1500000.0,midfield - Central Midfield,left,Premier League,10.0,7.0,537.0,1.0,0.0,0.4,0.4,0.2,6.0,4.0,1.0,117.0,174.0,2182.0,49.0,66.0,51.0,69.0,4.0,12.0,7.0,16.0,169.0,0.0,40.0,94.0,27.0,2.0,2.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,14.0,238.0,119.0,79.0,9.0,234.0,6.0,9.0,6.0,1.0,147.0,793.0,273.0,154.0,127.0,3.0,14.0,7.0,6.0,31.0,-25.0,31.0,0.82,34.4,-13.3,-0.35,0.0,1
Wissam Ben Yedder,FRA,FW,28000000.0,attack - Centre-Forward,right,La Liga,25.0,18.0,1701.0,9.0,3.0,10.6,9.8,2.4,18.9,50.0,26.0,357.0,460.0,5033.0,227.0,276.0,111.0,144.0,26.0,19.0,20.0,35.0,432.0,0.0,103.0,365.0,204.0,5.0,17.0,12.0,56.0,43.0,6.0,3.0,3.0,9.0,7.0,1.0,0.0,3.0,121.0,194.0,632.0,273.0,363.0,123.0,602.0,18.0,29.0,19.0,0.0,484.0,2764.0,1409.0,803.0,462.0,38.0,19.0,21.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,4
Lionel Carole,FRA,DF,3000000.0,Defender - Left-Back,left,La Liga,6.0,6.0,540.0,0.0,1.0,0.1,0.1,0.1,6.0,4.0,1.0,272.0,343.0,4942.0,108.0,126.0,134.0,158.0,2.0,21.0,4.0,22.0,306.0,0.0,66.0,232.0,26.0,3.0,3.0,14.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,8.0,410.0,196.0,96.0,6.0,373.0,7.0,11.0,8.0,0.0,287.0,1350.0,659.0,260.0,248.0,7.0,5.0,7.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,1
Bruno González,ESP,DF,1000000.0,Defender - Centre-Back,right,La Liga,20.0,17.0,1543.0,0.0,2.0,0.4,0.4,0.2,17.1,4.0,0.0,249.0,381.0,5877.0,65.0,88.0,117.0,159.0,3.0,7.0,1.0,14.0,357.0,0.0,47.0,195.0,235.0,2.0,5.0,9.0,8.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,37.0,1.0,525.0,206.0,18.0,12.0,501.0,0.0,0.0,0.0,0.0,191.0,890.0,279.0,184.0,170.0,3.0,1.0,10.0,15.0,42.0,9.0,55.0,1.45,46.4,9.6,0.25,0.0,0
Sébastien Corchia,FRA,DF,4000000.0,Defender - Right-Back,right,La Liga,12.0,9.0,820.0,0.0,1.0,0.5,0.5,0.5,9.1,6.0,3.0,292.0,390.0,4852.0,150.0,172.0,117.0,166.0,5.0,20.0,6.0,25.0,335.0,1.0,55.0,232.0,273.0,1.0,9.0,6.0,12.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,26.0,11.0,489.0,247.0,153.0,11.0,435.0,7.0,14.0,10.0,0.0,301.0,1725.0,900.0,306.0,271.0,5.0,6.0,22.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Joaquín Correa,ARG,"FW,MF",10000000.0,attack - Second Striker,right,La Liga,21.0,15.0,1189.0,1.0,2.0,1.7,1.7,1.8,13.2,23.0,6.0,394.0,495.0,6605.0,205.0,252.0,155.0,186.0,22.0,23.0,17.0,53.0,478.0,1.0,120.0,384.0,392.0,8.0,6.0,23.0,46.0,26.0,5.0,4.0,10.0,5.0,1.0,0.0,2.0,3.0,64.0,63.0,688.0,315.0,350.0,63.0,673.0,37.0,59.0,41.0,1.0,574.0,4062.0,2486.0,662.0,523.0,33.0,34.0,43.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,3
