epoca,liga,equipa,classificacao
2020,Serie A,Juventus,1
2020,Serie A,Inter,2
2020,Serie A,Atalanta,3
2020,Serie A,Lazio,4
2020,Serie A,Roma,5
2020,Serie A,Milan,6
2020,Serie A,Napoli,7
2020,Serie A,Sassuolo,8
2020,Serie A,Verona,9
2020,Serie A,Fiorentina,10
2020,Serie A,Parma,11
2020,Serie A,Bologna,12
2020,Serie A,Udinese,13
2020,Serie A,Cagliari,14
2020,Serie A,Sampdoria,15
2020,Serie A,Torino,16
2020,Serie A,Genoa,17
2020,Serie A,Lecce,18
2020,Serie A,Brescia,19
2020,Serie A,Spal,20
